,userID,itemID,reviewText,rating
1989,ACJT8MUC0LRF0,B00ID9VSOM,"I wasn&#8217;t quite sure what to expect when I tried the Viva labs coconut sugar.  It looks quite similar to dark brown sugar, but didn&#8217;t have quite the heavy, sweet taste I was expecting.  Because I&#8217;m so accustomed to the extremely sweet taste from artificial sweeteners, the taste was much different.The best way for me to experience the actual taste, was not in a recipe, but rather by putting it on my oatmeal.  It has a light touch of natural sweetness that livened up the taste of my oatmeal, but didn&#8217;t overwhelm it.  It doesn&#8217;t taste like coconut nor like the Viva Labs coconut oil, something I really love when I fry vegetables.Table sugar is well-known for its empty calories, but from what reading I&#8217;ve done, the coconut sugar does have some nutritional value.  For those who are keeping a close watch on calories, the Viva Labs coconut sugar does have 16 calories per tablespoon.If I&#8217;m going to use sugar of any kind, including in my baking, I use organic.  This coconut sugar has a nice light taste and much more going for it than the &#8220;regular&#8221; kind, including the fact that it&#8217;s a low-glycemic sweetener.  I&#8217;d probably opt for this sugar over the white sugar, especially if I had to deal with diabetes.Sample provided for review.",5.0
1360,A1UQBFCERIP7VJ,B00A4ASPWG,"Knorr Rice Sides Creamy Chipotle flavor is actually rice and pasta with a cheesy sauce with a pronounced flavor of smoked peppers.  The flavor is good but not at all spicy and it needs some hot sauce to give  it a bit more kick.  Otherwise, it's a nice starchy dish.I think hikers will like it because it's cheesy enough that it can be made without the milk and butter, substituting olive oil and water or even just water and still have it taste good and have a nice texture.  Directions call for it to simmer for seven minutes after being brought to a boil and then left to mature for a couple of minutes and the rice and pasta definitely need some time to soak up the moisture and soften up.",4.0
1651,A25C2M3QF9G7OQ,B00CTJ4JHA,"I was pleased with this bar. It tasted great - the chocolate came through very well without the usual heavy artificial taste that chocolate covered bars often have. The peanut butter was clearly there but not overpowering.The bar is soft and chewy, which is what I prefer, but it had some crunch to it due to (I assume) toasted rice. The overall result was very appealing and not messy to eat on the run (provided you peel back the wrapper so you don't get chocolate on your fingers).It is rather sweet - almost candy-bar sweet. If the sweetness was dialed down a bit this would be a five-star product. As it is it remains a decent protein bar that I would certainly get again.",4.0
1578,A353U0L2HAMSHV,B00BNR7I18,"I sometimes pack these squeezable fruits in my lunch bag.  It may be hours before I get a break at work and so when I do, something quick and easy is great to have on hand.  I liked the flavor of the Apple, Berry Banana; it wasn't artificial tasting at all and it was a good combo. The price per pack is about average for these treats, but because of the taste and no added sugars I'd easily recommend Fruit Friends. I just wish it was made in the USA.",4.0
1006,A2YW1MG1GKU8XD,B0084ZZ5PI,"This is a small bottle like one of those 5hr energy bottles, except it doesn't deliver the same way.  Some of the good things are all the B vitamins, naturally sweetened (from fruits), and good combo of antioxidants in just 2.5 oz.  Regarding the flavor, well, it tastes more like a concentrate made from the V8 fusion berry juice.  I drink a couple of cups of coffee a day so this bottle replaced one of those cups giving me just about the same effect except I got the vitamins to boost.  It's not a bad option - better for you, but I'm not sure I'd be buying it any time soon.",3.0
1476,A1ITRGMT80D5TK,B00B2JRNBM,"This was the first Barilla Microwavable Bowl that I've ever had and I really enjoyed it.  I thought the design of the bowl was really neat.  The pasta and the sauce actually cook separately and then the sauce bowl lifts out and you just dump it on the pasta and stir.Although Barilla is my favorite brand of pasta, I've never actually had Gemelli pasta before.  I didn't think I'd care for it that much.  It looked a bit too thick for my liking but surprisingly I actually liked it a lot.When I first pulled the bowl out of the microwave I didn't think it smelled too great.  I thought I was going to be in for a disappointment.  I thought the ""meat sauce"" wasn't very meaty at all.  Although the meat flavoring was there, it was still not a very thick sauce.  However, I loved it.  I thought the taste was great.  I thought the portion was a bit on the small side but it's only 350 calories which is good for my diet.I really enjoyed this meal and I would highly recommend it.  Just don't expect a thick meaty sauce.",4.0
777,A1ITRGMT80D5TK,B005HGJ3ZK,"I've now had both the Brown Rice and the normal White Rice cups.  My reviews are pretty much the same for both but I will say that I had a slight preference to the Brown Rice.When you're dieting and trying to lose weight, it's very convenient to have these types of little containers of food around that are between two and three hundred calories for quick and easy lunches. I was pretty excited to try this product and although it wasn't bad, it wasn't great either.Preparation- First of all they're easy to prepare but make a mess. Just remove the lid and fill with water to the ""Fill Line"". This line is hard to see but I found it and done as directed. Set the microwave on 3 1/2 minutes on high. The first time I made one of these I walked away and came back to quite a mess.  It evidently boiled over a lot while it was cooking. Having to clean the mess up once isn't bad but this is evidently a thing that'll happen every time because it happened with both of the cups that I had.  At least the 2nd time around I put a couple paper towels under the cup to try and help with cleanup.Taste- The Brown Rice wasn't that bad at all in my opinion.  As with the white rice though, I kept running into noodles that were a bit firm. Most of them were soft but there were a few that were firm and not great to eat. The texture on some of the noodles were weird as well.  Neither of these issues were as bad with the Brown Rice.  I'm not sure if it made a difference that this time I didn't eat right out of the container but actually put it in a bowl this time.Overall I didn't think this Brown Rice meal was bad but it wasn't great either. I could eat a Brown Rice cup every now and then. I would recommend trying it for yourself to see if you like it. Since it's just 212 calories it could be great for those that enjoy it.",3.0
932,A3FKGKUCI3DG9U,B007JFMIWW,"I had high expectations for the ""Quaker Stila Crispy Oat Cookie Bar.""  After all, it does have Oat in its name.  It comes in a cute non-rectangular box, with each bar wrapped individually. However, I was taken aback by the list of ingredients. It has over fifty.  On the box, the first ingredient listed is high-fructose corn syrup.  It gets worse from there.  The corn syrup is supplemented by artificial flavor and artificial coloring.Below is the list of ingredients from the web site page. This is slightly different from the printed list on the box, but you can get the idea. Do they need all this stuff to make a Cookie Bar?Fruit Filling (Invert Sugar Syrup, Sugar, Apple Powder, Sorbitol, Food Starch-Modified, Dextrose, Glycerin, Strawberry Puree, Maltodextrin, Citric Acid, Pectin, Salt, Sodium Citrate, Caramel Color, Artificial Flavor, Potassium Sorbate [preservative], FD&C; Red 40, FD&C; Yellow 5), Whole Grain Oat Flour, Enriched Flour (Wheat Flour, Niacinamide, Ferrous Fumarate, Thiamin Mononitrate, Riboflavin, Folic Acid), Food Starch-Modified, Granola (Whole Grain Rolled Oats, Sugar, Soybean Oil, Molasses, Honey), Sugar, Palm Oil (with TBHQ [preservative]), Whole Grain Rolled Oats, Contains 2% or less of: Wheat Gluten, Wheat Bran, Leavening Agents (Sodium Bicarbonate, Aluminum Sodium Sulfate, Ammonium Bicarbonate), Corn Syrup, Salt, Wheat Germ, Soy Lecithin, Sodium Stearoyl Lactylate, Whey Protein Concentrate, Corn Starch, Caramel Color, Yeast, Rosemary Extract (preservative), Enzymes, Soybean Oil, Sodium Metabisulfite, Zinc Oxide, Xanthan Gum, Ascorbyl Palmitate, Tocopherols.I did try one of the bars.  It is edible, but has little about it that stands out.  There is an inner fruit core which is slightly sweet, covered by a baked wrapper, which is somewhat dry.  The overall taste was acceptable, but why would anyone want to eat this?",1.0
666,A2V92F5R7MLCVI,B004TPUT9Y,"This white rice mac & cheese cup is 2 oz. with 212 calories. The fill line is extremely hard to find unless you know where to look for it. There are lightly indented dashes around the inside edge about an inch down from the top. They are almost invisible - that really needs to be fixed in the packaging department.I filled it to the correct line and followed the directions. It was extremely soupy, not at all cheesy and definitely not much flavor. Some pieces of the pasta were also harder than al dente - not at all pleasant. Its gluten free but not much else is appealing about it.",1.0
761,A3FBM0RMCMAABV,B005HG9ERW,"This will be the bottle that you grab from the fridge if you are really thirsty!  The bottles are big!  I like that about them because I can grab one and drink from it for a couple of hours and really stay hydrated.  The taste is just cool, clean and refreshing.  No aftertaste at all.  This is good water.",5.0
1973,A2YW1MG1GKU8XD,B00H727UU2,"Very tasty Nacho Cheddar Seasoning! What we like best is that it's not super salty and it's a very fine powder.  We have another brand that it's also tasty but the powder doesn't stick to the popcorn very well and we end up inhaling the powder which causes us to cough..not good.  With the Kernel brand, the powder sticks to the popcorn right away and gives it a good cheesy flavor without the choking.  It is a pricey product for a seasoning but the container lasts a while.  I recommend trying different flavors -maybe small containers, before purchasing a big pack of three of one kind,",4.0
1961,AAA0TUKS5VBSA,B00H727T58,"I've been using Kernel Season's on popcorn, potatoes, etc. for a while now, and most of the flavors are very good.  This ranch is no exception, and is versatile since ranch goes well with so many things.  Since it is popcorn seasoning, the powder comes out with a dusty consistency that rests in the crevices of popcorn and immediately absorbs into anything wet.  I recommend trying it out.",4.0
1827,AEL6CQNQXONBX,B00DS842HS,"This Coconut Oil is organic and comes in a 15 ounce container. It is absolutely pure, fresh and smells amazing if you like coconut. I personally love coconut and was happy to try cooking with it. However I wondered whether or not it would be useful for very many things. I am still fairly new to coconut oil but I have been experimenting with it a lot in recent months and have found it to be my new favorite oil to cook with. I have used it to fry things in a skillet like ham. I wondered if it would taste weird but it didn't at all and I actually preferred the taste to using vegetable or canola oil. I have also used it in deserts and that is what I prefer to use it for. I have used it to make homemade fudge and it turned out really good. Yesterday I used it to make chocolate chip cookies and they were some of the most amazing cookies that I have ever had. Coconut Oil can also be used as a beauty product. If you take a little bit of it and rub it into your skin it moisturizes and makes your skin very smooth. My hands always dry out and crack as the weather turns colder out. A little bit of this coconut oil makes them feel like new again and it smells great too.This is only the second type of coconut oil that I have tried but it seems perfect quality to me. It also has a long shelf life of about 1 1/2 years according to the expiration date on the top of the container. Coconut oil may not be for everyone but I love the taste and it's much healthier than many of the other options.Sample provided for review.",5.0
1042,A1ITRGMT80D5TK,B008I1XLDQ,"I really love the variety that you get in this box.  There seems to be something for everyone.  I enjoy having a large assortment of K-cups and I sure got that with this box.  I received 16 different flavors as listed below:2 Cinnamon Subway3 Corner Donut Shop3 Hazelnut3 Boardwalk Blend3 Brooklyn Bridge Blend2 Maple Sleigh2 Coney Island Caramel2 Express-O3 Fugheddaboutit3 Breakfast Blend3 Breakfast Blend Decaf3 Vanilla Skyline2 Columbian2 Cyclone2 French Roast2 Oh Fudge!So although I got all 8 types that are listed in the description, I got 8 additional types as well.  This was a good thing for me.  I'm happy that there were at least 2 of each kind so my husband and I wouldn't have to flip for who got what.I think it's great that there's a variety of light, medium and dark as well.  I typically like the light to medium and my husband usually goes for the medium to dark roasts so this assortment works great for us.I've tried all but 1 or 2 of these and I pretty much like them all.  If you like having a variety of coffees then I would highly recommend this assortment.  I'm quite pleased with it.",5.0
1905,A3R9H6OKZHHRJD,B00E6OIXM8,"This coffee has a nice smooth flavor with a hint of creamy caramel.  Before brewing I can smell really nice caramel notes in the cup.  Once brewed, the coffee is rich, with a lighter caramel flavor.  I found this to be a slightly darker roast than I've seen in other flavored coffees.  The caramel flavor is smooth and light.  This is not too sweet to be relegated to dessert coffee.  I'm quite happy drinking it in the morning and at night.  Versatile and delicious.",5.0
1484,A36MP37DITBU6F,B00B324T10,We used this as a seasoning mix on chicken rather than make the dressing. Our favorite is to sprinkle over the top of boneless skinless chicken breast and cover and bake at 350 til tender. Of course if you like the skin and bones it works great over a whole chicken and or little red potatoes.,4.0
138,A2YW1MG1GKU8XD,B0016B9FSU,"I've been using coconut oil for a while and have tried 2 different brands. This is the third brand I taste and so far, it's the best one.  I made some veggie chips and they turned out so crisp and flavorful.  Though the oil does not have a strong coconut flavor, it enhanced the flavor of the vegetables I cooked, they were so good.  It makes great popcorn and gives salmon a delicious touch.  I've also used it on my skin and face.  It absorbs fairly quickly and leaves my skin so smooth.  I really like it.",5.0
471,AEC90GPFKLAAW,B0041CIP3M,"I received a single box of Prima Taste Rendang Curry Sauce Kit free from the Amazon Vine program, in exchange for writing a review of the product.We lived in Malaysia and India, so we love curry and enjoy it at home on a regular basis.  I usually use lamb or chicken, but this time I used beef as directed on the box.  We enjoyed the flavors of lemongrass and coconut in this sauce, although it wasn't quite spicy enough for us.  I actually added some extra curry powder to it before it was done cooking.  We all thought it was a little too sweet, but overall was very tasty when served over rice.The current price for this product is around $6.50 per box.  That seems a little on the expensive side when I am adding my own meat, vegetables and rice.  The box made six very small servings (we have six in our family).  If you're looking for an authentic tasting and less expensive curry mix, try Kitchens of India Paste for Butter Chicken Curry.This was nice to try just for the experience, but I will continue to make my own curries because I can do it much cheaper without the mix.",4.0
1322,A353U0L2HAMSHV,B009WPKGQC,"There are three dominant hot sauces in our household;original Tabasco,CholulaandEl Pato Green Jalapeno Hot Sauce.  I enjoy each on different foods for their unique flavor, but I always like to try out new sauces.When I received the bottle ofGringo Bandito Hot SauceI opened it up and put a few dashes on my finger.  It was tart, had a strong chile flavor and a kick of heat at the end. I immediately thought that it would be a great addition to my homemade chili and also to my shredded chicken enchiladas.I've only had the chance to use it a few times so far and while I do like it, I don't think it's going to be a regular staple in my home. It is a very good hot sauce, but I find that the chile flavor is a bit more than I care for with most of my foods.  Buy if that is something you prefer then this would definitely be a sauce to give a try.",3.0
707,A2YW1MG1GKU8XD,B004YV80O4,"I like velveeta cheese and thought this combination would be good for our camping trip (practical meal).  Though the flavor is good, the result is not like what it's pictured on the box.The sauce is not as cheesy as the picture shows.  The broccoli gives some flavor and color but don't expect anything bigger than a broccoli flake.  The flavor is good but not what I expected.  A bit dry and more like a cheesy 'orzo' risotto.",4.0
1423,A1UQBFCERIP7VJ,B00APKBFFO,"Knorr Pasta Sides Chipotle Rosa is a pouch of rotini pasta with powdered sauce to which water, butter, and milk are added before cooking to make a saucy pasta dish. In the past, this line was sold under the Lipton brand and then the Knorr-Lipton brand. They are quite popular with long-distance hikers as a quick, inexpensive, filling, versatile, lightweight, readily-available, one-pot meal. The same attributes make them ideal for easy preparation at home.This particular variety has a hint of south-of-the-border flavor though it would certainly benefit from more heat. It's easy to doctor these up with a little Tabasco or chili-garlic sauce, powdered chipotle, or other spices. For a complete meal, throw in whatever else you have on hand such as sausage or vegetables.The sauce in these come out a bit runny if the instructions are followed so either use slightly less water or add some green-can cheese if you have normal blood pressure and your tast buds can handle the extra saltiness.",4.0
168,A3OXHLG6DIBRW8,B001EQ55RW,"These Emerald ""Cocoa Roast Almonds"" are a low carb snack that bring a bit of dark chocolate flavor to good tasting almonds. These do have artificial sweeteners, but for those of us that have to watch our sugar intake, this is a very viable treat.Highly Recommended!CFH",4.0
289,AAA0TUKS5VBSA,B0025UK92C,"Sardines can be fishy, given that they are fish, but these by King Oscar are instead scooped from the clouds with nets woven from dreams.  There is not an offensive bone in their bodies, leaving only a pleasing aquatic flavor.  The texture is also nice, breaking into a sort of tuna consistency easily, remaining in good sized chunks rather than turning to mush.  I recommend these to people that have been turned off by the can of chum some people market as sardines.  They are perfect for recipes, too.",5.0
1430,A25C2M3QF9G7OQ,B00APKBFFY,"Although I'm a big fan of Knorr products, this one was not appealing. The bacon flavor tasted very artificial (even though the package said ""real bacon!"") and there was WAY too much of a smoky taste. The smokiness overpowered everything, making it impossible to enjoy. And the parmesan must have been in hiding, since it (or any measureable taste of it) was nowhere to be found.It was also rather watery, even though I followed the directions to the letter. The pasta was cooked properly, but the sauce did not thicken up much.On the plus side the noodles were OK, and it was very easy to prepare - a single saucepan dish that takes less than 15 minutes from start to finish (including bringing the water to boil).But the taste....pretty poor. I'll give it two stars for the attempt, but it's not something I'd get again.",2.0
1974,A1UQBFCERIP7VJ,B00H7282WW,This particular variety of Kernel Season's popcorn seasoning is my least favorite.  It tastes only vaguely like butter and doesn't deliver enough flavor intensity to satisfy me.  I prefer the ranch and cheese varieties.,4.0
1437,AAA0TUKS5VBSA,B00APKBFFY,"Upon opening the bag of Knorr Smokehouse Bacon Parmesan powder, I was taken back by the intense smell of artificial bacon bits.  It was not appetizing, but I grew up eating bacon bits on salad, so I gave it a shot.  Unfortunately, that is about the only flavor in the easy to prepare dish.  There is not much cheese flavor, and going by macaroni and cheese prices, I don't think it would have been too costly to add.  As a whole, it tastes like bacon bits and salt sprinkled on plain pasta.  It might work marginally well as an addition to a recipe, but even for that I would suggest looking at other soup or spice packs.",2.0
1365,A2YW1MG1GKU8XD,B00A4ASPWG,"Very tasty combination of pasta and rice with creamy chipotle seasoning.  It has a kick to it but not overpowering.  It looked really soupy at first but once it sets (after taking it off the stove), it gets really creamy and easy to spoon in a burrito.  We had some by itself but ended up making an awesome burrito with beans and some chicken.  Since it has cheese in it, you don't need to add any extra to your burrito.  I recommend to read all ingredients before purchasing.  Very tasty I will be buying this kind soon.",4.0
1560,A25C2M3QF9G7OQ,B00BJH5A26,"These are the first gluten-free pretzels I've tried and they are pretty good. They won't get me to give up my conventional pretzels, but the taste was better than I expected.The salt content is perfect - not so salty that you need to drink gallons of water afterwards, but not so light on the salt that they taste bland. They hit the right balance.The texture is pretty crunchy, but a little less crunchy than a ""conventional"" pretzel. They do have the downside in that the texture is a little mealy, which I assume is due to the potato starch that is used rather than flour. It's not objectionable, but it is noticeable.The overall taste is very good - tastes just as a pretzel should taste.Definitely worth getting if you're on a gluten-free diet, and worth getting even if you are not.",4.0
788,A1KEK09ZA6J9P8,B005V9YXTO,"I have tried sweet potato chips and love veggie chips that I have tried, but these I don't love.  They were crunchy, yes, but with a weird stale kind of taste.  No idea what exactly they tasted like, but whatever it was, I wasn't a fan.  Too bad, they equaled a serving of veggies and would have been a healthy alternative to chips, but alas....no.  These were not finished by the hubby and I.  We gave them a few tries and then dumped them....almost unheard of in our house, but these were just not tasty to us.  So, overall, I didn't like them and would not buy them or recommend them.",2.0
